name_en,name_hi,name_hi_translit,category,unit,unit_name,calories_per_100g,protein_per_100g,calories_per_unit,protein_per_unit
Apple,सेब,seb,fruit,g,,52,0.3,,
Banana,केला,kela,fruit,g,,89,1.1,,
Mango,आम,aam,fruit,g,,60,0.8,,
Orange,संतरा,santra,fruit,g,,47,0.9,,
Papaya,पपीता,papita,fruit,g,,43,0.5,,
Guava,अमरूद,amrood,fruit,g,,68,2.6,,
Pomegranate,अनार,anar,fruit,g,,83,1.7,,
Pear,नाशपाती,nashpati,fruit,g,,57,0.4,,
Grapes,अंगूर,angoor,fruit,g,,69,0.6,,
Watermelon,तरबूज,tarbooj,fruit,g,,30,0.6,,
Muskmelon,खरबूजा,kharbooja,fruit,g,,34,0.8,,
Pineapple,अनानास,ananas,fruit,g,,50,0.5,,
Cherry,चेरी,cheri,fruit,g,,63,1.1,,
Strawberry,स्ट्रॉबेरी,strawbery,fruit,g,,33,0.7,,
Blueberry,ब्लूबेरी,blueberry,fruit,g,,57,0.7,,
Kiwi,कीवी,kivi,fruit,g,,61,1.1,,
Avocado,एवोकाॅडो,avocado,fruit,g,,160,2.0,,
Apricot,खुबानी,khubani,fruit,g,,48,1.4,,
Blackberry,ब्लैकबेरी,blackberry,fruit,g,,43,1.4,,
Blackcurrant,ब्लैक करंट,blackcurrant,fruit,g,,63,1.4,,
Cantaloupe,कैंटलूप,cantaloupe,fruit,g,,34,0.8,,
Clementine,क्लेमन्टाइन,clementine,fruit,g,,47,0.9,,
Coconut,नारियल,nariyal,fruit,g,,354,3.3,,
Cranberry,क्रैनबेरी,cranberry,fruit,g,,46,0.4,,
Date,खजूर,khajoor,fruit,g,,282,2.5,,
Dragonfruit,ड्रैगनफ्रूट,dragonfruit,fruit,g,,50,1.1,,
Durian,ड्यूरियन,durian,fruit,g,,147,1.5,,
Elderberry,एल्डरबेरी,elderberry,fruit,g,,73,0.7,,
Fig,अंजीर,anjeer,fruit,g,,74,0.8,,
Indian gooseberry (Amla),आमला,amla,fruit,g,,44,0.9,,
Grapefruit,चकोतरा,chakotra,fruit,g,,42,0.8,,
Honeydew,हनीड्यू,honeydew,fruit,g,,36,0.5,,
Jackfruit,कटहल,kathal,fruit,g,,95,1.7,,
Jujube (Ber),बेर,ber,fruit,g,,79,1.2,,
Kumquat,कुमक्वाट,kumquat,fruit,g,,71,1.9,,
Longan,लोंगन,longan,fruit,g,,60,1.3,,
Lychee,लीची,lichi,fruit,g,,66,0.8,,
Loquat,लोक्त,loquat,fruit,g,,47,0.4,,
Mandarin,मैनडरिन,mandarin,fruit,g,,53,0.8,,
Mulberry,शहतूत,shahtoot,fruit,g,,43,1.4,,
Nectarine,नेक्टरीन,nectarine,fruit,g,,44,1.1,,
Olive,जैतून,jaitun,fruit,g,,115,0.8,,
Passion fruit,पास्शन फ्रूट,passion fruit,fruit,g,,97,2.2,,
Persimmon,एशियन/फल,persimmon,fruit,g,,81,0.6,,
Plantain,प्लांटेन,plantain,fruit,g,,122,1.3,,
Pomelo,चकोतरा (बड़ा),pomelo,fruit,g,,38,0.8,,
Quince,शब्द्तो,quince,fruit,g,,57,0.4,,
Rambutan,रम्बुटन,rambutan,fruit,g,,68,0.9,,
Sapodilla (Chikoo),चीकू,chikoo,fruit,g,,83,0.4,,
Soursop,सौरसोप,soursop,fruit,g,,66,1.0,,
Starfruit (Carambola),कमरखोल,starfruit,fruit,g,,31,1.0,,
Tamarillo,टमरीलो,tamarillo,fruit,g,,29,1.5,,
Ugli fruit,अग्ली फ्रूट,ugli fruit,fruit,g,,45,0.7,,
Breadfruit,ब्रेडफ्रूट,breadfruit,fruit,g,,103,1.1,,
Breadnut,ब्रेडनट,breadnut,fruit,g,,123,2.3,,
Bilberry,बिलबेरी,bilberry,fruit,g,,50,0.7,,
Cloudberry,क्लाउडबेरी,cloudberry,fruit,g,,53,1.2,,
Cupuacu,कुपुआकू,cupuacu,fruit,g,,120,1.0,,
Feijoa,फेजोआ,feijoa,fruit,g,,55,0.9,,
Cape gooseberry,केप गूसबेरी,cape gooseberry,fruit,g,,53,1.9,,
Horned melon (Kiwano),कीवाना,kiwano,fruit,g,,44,1.8,,
Honeyberry,हनीबेरी,honeyberry,fruit,g,,50,0.8,,
Mirabelle plum,मिराबेल प्लम,mirabelle,fruit,g,,46,0.7,,
Mulberry (white),शहतूत (सफ़ेद),shahtoot white,fruit,g,,43,1.4,,
Physalis,फिजालिस,physalis,fruit,g,,53,1.9,,
Pawpaw,पपिता,pawpaw,fruit,g,,43,0.5,,
Rowan,रोजन,rowan,fruit,g,,37,1.0,,
Santol,सैंटोल,santol,fruit,g,,60,0.6,,
Yuzu,यूज़ु,yuzu,fruit,g,,20,0.8,,

